FaliureRate,ConnectedComponents,Error
0,1,0
0.04166666667,1.01,0.02276003475
0.08333333333,1.09,0.06546320655
0.125,1.33,0.1255193557
0.1666666667,2.07,0.2652971654
0.2083333333,3.62,0.3769538848
0.25,6.8,0.5565653651
0.2916666667,11.04,0.7502900156
0.3333333333,18.02,0.8515902326
0.375,31.1,1.26557238
0.4166666667,49.2,1.626839602
0.4583333333,74.81,1.833316593
0.5,102.31,2.082902759
0.5416666667,131.92,2.458083753
0.5833333333,158.2,2.223203892
0.625,180.04,2.755792342
0.6666666667,196.81,2.445281421
0.7083333333,201.19,2.112585574
0.75,203.75,2.080057087
0.7916666667,195.55,1.912295822
0.8333333333,177.19,1.714136038
0.875,148.8,1.349025355
0.9166666667,110.3,0.8677322135
0.9583333333,60.72,0.471107674
1,0,0