Percent Deletion,average,lower percentile,upper percentile
0.00,1,1,1
4.17,1,1,1
8.33,1.11,1.031456143,1.188543857
12.50,1.3,1.168594878,1.431405122
16.67,2.17,1.960212726,2.379787274
20.83,3.97,3.518892676,4.421107324
25.00,6.84,6.182003506,7.497996494
29.17,11.23,10.52580481,11.93419519
33.33,19.58,18.5791543,20.5808457
37.50,30.59,29.27193511,31.90806489
41.67,50.21,48.60998249,51.81001751
45.83,74.21,72.31918951,76.10081049
50.00,104.11,102.1127116,106.1072884
54.17,133.31,131.0557814,135.5642186
58.33,160.26,157.7291405,162.7908595
62.50,179.62,177.6523028,181.5876972
66.67,196.24,193.8083607,198.6716393
70.83,203.87,201.2843184,206.4556816
75.00,203.75,201.3749114,206.1250886
79.17,195.97,194.3673162,197.5726838
83.33,177.48,175.8675433,179.0924567
87.50,148.52,147.06841,149.97159
91.67,110.12,109.1066329,111.1333671
95.83,60.65,60.08191947,61.21808053
100.00,0,0,0