FaliureRate,DownTime,AveragePathLength,Error
0,0,87.47460436,1.145250828
0.04166666667,0,96.70005517,1.432217253
0.08333333333,0,101.7407506,2.454686152
0.125,0.006666666667,109.541837,2.427767423
0.1666666667,0.01333333333,114.8208001,1.10844466
0.2083333333,0.01333333333,137.7215376,1.755949985
0.25,0.02666666667,144.6776735,3.08856123
0.2916666667,0.03666666667,186.5167723,4.854467399
0.3333333333,0.05333333333,221.0251761,8.357994065
0.375,0.13,305.811329,11.71879637
0.4166666667,0.3066666667,350.4020962,34.43511417
0.4583333333,0.7266666667,173.3150581,14.07759202
0.5,0.77,174.7073121,28.24270714
0.5416666667,0.8966666667,81.90440108,10.14966197
0.5833333333,0.9266666667,75.64478232,6.586768743
0.625,0.9766666667,61.23712647,2.275172221
0.6666666667,0.9866666667,59.52866066,1.010731058
0.7083333333,0.9833333333,59.28554413,2.022871368
0.75,0.9933333333,59.32291999,
0.7916666667,0.9966666667,56.69254028,
0.8333333333,0.9966666667,62.90658586,
0.875,1,,
0.9166666667,1,,
0.9583333333,1,,
1,1,,